credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
775,France,Male,28,9,111167.7,1,1,0,149331.01,0
681,Germany,Male,48,5,139714.4,2,0,0,73066.72,0
564,Germany,Female,32,10,139875.2,2,1,0,15378.23,0
646,Germany,Female,44,2,113063.83,1,0,0,53072.49,1
670,France,Female,50,8,138340.06,1,0,1,3159.15,0
751,France,Male,43,1,114974.24,1,1,0,125920.54,0
544,France,Female,33,6,0.0,2,1,1,124113.04,0
639,France,Female,38,5,0.0,2,0,0,93716.38,0
635,Germany,Female,65,5,117325.54,1,1,0,155799.86,1
672,France,Female,28,6,0.0,1,0,1,8814.69,0
639,France,Female,35,8,0.0,1,0,0,164453.98,0
697,France,Female,25,1,0.0,2,0,0,87803.32,0
850,Spain,Male,44,8,0.0,2,1,1,183617.32,0
748,France,Female,34,8,0.0,2,1,0,53584.03,0
463,Spain,Female,35,2,0.0,2,1,1,1950.93,0
572,France,Female,30,6,0.0,1,0,1,175025.27,0
741,Spain,Male,50,1,78737.61,1,1,1,13018.96,0
646,Spain,Male,25,5,182876.88,2,1,1,42537.59,1
805,Germany,Male,50,9,130023.38,1,1,0,62989.82,1
637,France,Male,36,2,152606.82,1,1,1,71692.8,0
651,France,Male,28,7,0.0,2,1,0,823.96,0
672,France,Male,28,4,167268.98,1,1,1,169469.3,0
493,France,Male,54,3,167831.88,2,1,0,150159.95,1
524,Germany,Male,29,9,144287.6,2,1,0,32063.3,0
624,Germany,Female,45,5,151855.33,1,1,0,68794.15,0
569,Spain,Female,51,3,0.0,3,1,0,75084.96,1
677,France,Female,27,2,0.0,2,0,1,114685.92,0
464,Germany,Male,37,4,155994.15,1,0,0,143665.44,0
718,Germany,Male,26,7,147527.03,1,0,0,51099.56,0
594,France,Female,53,4,0.0,1,1,0,5408.74,1
574,France,Male,33,8,100267.03,1,1,0,103006.27,0
478,Spain,Male,48,0,83287.05,2,0,1,44147.95,1
615,Spain,Male,41,4,0.0,1,0,1,149278.96,0
651,Spain,Male,45,4,0.0,2,0,0,193009.21,0
465,Germany,Male,53,1,117438.17,1,0,0,74898.8,1
558,France,Female,56,7,121235.05,2,1,1,116253.1,0
540,Germany,Male,37,3,129965.18,1,0,0,19374.08,0
568,Germany,Male,46,8,150836.92,1,0,0,64516.8,1
630,France,Male,31,0,0.0,2,1,1,34475.14,0
523,Germany,Male,60,1,163894.35,1,0,1,57061.71,0
678,France,Female,48,2,0.0,2,1,1,32301.88,0
438,France,Male,38,2,0.0,2,1,0,136859.55,0
544,France,Male,44,1,0.0,2,0,0,69244.24,0
595,Germany,Male,34,2,87967.42,2,0,1,156309.52,0
678,France,Male,26,3,0.0,2,1,0,4989.33,0
850,France,Female,36,6,0.0,2,1,1,190194.95,0
589,Germany,Female,20,2,121093.29,2,1,0,3529.72,0
785,Spain,Female,31,2,121691.54,2,0,0,81778.72,0
563,Spain,Male,57,6,0.0,2,1,1,39297.48,0
602,France,Female,39,6,154121.32,2,1,0,176614.86,1
591,France,Male,29,6,0.0,2,1,1,108684.65,0
643,Spain,Male,43,1,0.0,2,1,1,145764.4,0
605,France,Female,32,5,0.0,2,1,1,42135.28,0
755,Germany,Male,43,6,165048.5,3,1,0,16929.41,1
769,Spain,Male,38,6,0.0,2,0,0,104393.78,0
620,France,Female,33,9,127638.35,1,1,1,192717.57,0
725,France,Male,31,8,0.0,2,1,1,59650.42,0
818,Germany,Female,72,8,135290.42,2,1,1,63729.72,0
624,France,Female,71,4,170252.05,3,1,1,73679.59,1
669,Germany,Female,35,4,108269.2,2,1,0,174969.92,0
712,France,Female,32,1,0.0,2,1,0,1703.58,0
603,Germany,Female,35,9,145623.36,1,1,0,163181.62,0
597,France,Female,41,4,145809.53,2,1,1,52319.26,0
580,Germany,Male,76,2,130334.84,2,1,1,51672.08,0
718,France,Female,39,3,0.0,2,1,1,145355.11,0
527,Spain,Male,53,8,0.0,1,1,1,51711.57,0
729,Spain,Female,42,1,0.0,2,1,1,149535.97,0
746,France,Female,24,4,0.0,1,0,1,94105.0,0
699,Germany,Female,54,3,111009.32,1,1,1,155905.79,1
759,France,Female,46,2,0.0,1,1,1,138380.11,0
748,France,Female,39,3,157371.54,1,0,1,97734.3,0
698,Spain,Female,63,5,0.0,1,1,1,173576.71,0
686,France,Male,37,9,134560.62,1,1,0,27596.39,0
679,France,Male,40,1,0.0,1,1,1,16897.19,0
682,Germany,Male,36,5,72373.62,2,1,0,36895.99,0
778,France,Female,34,7,109564.1,1,0,1,113046.81,0
742,France,Female,25,4,132116.13,2,1,0,129933.5,0
649,Germany,Male,24,7,101195.23,1,0,0,133091.32,0
763,France,Male,67,1,149436.73,2,0,1,106282.74,0
595,Germany,Male,30,9,130682.11,2,1,1,57862.88,0
628,Germany,Female,51,10,115280.49,2,0,0,12628.61,1
625,France,Female,36,8,129944.39,2,0,0,198914.8,0
733,France,Male,36,5,0.0,2,1,1,109127.54,0
665,Spain,Female,32,10,0.0,1,1,1,22487.45,0
805,Germany,Male,56,6,151802.29,1,1,0,46791.09,1
725,France,Male,38,6,0.0,2,1,1,158697.28,0
554,France,Female,38,3,138731.95,1,1,1,194138.36,0
675,Spain,Female,35,8,155621.08,1,0,1,35177.31,0
556,France,Female,54,4,150005.38,1,1,0,157015.5,1
635,Spain,Female,48,2,0.0,2,1,1,136551.25,0
601,France,Male,47,1,64430.06,2,0,1,96517.97,0
600,Germany,Male,53,7,106261.63,1,1,0,93629.66,1
758,Spain,Male,40,3,0.0,2,0,0,96097.65,0
606,Germany,Female,41,4,132670.53,1,1,0,156476.36,1
640,France,Female,67,3,0.0,1,0,1,42964.63,0
753,Germany,Female,38,1,117314.92,1,1,0,122021.33,1
559,Spain,Male,38,3,145874.35,1,1,0,56311.39,1
754,Spain,Female,50,7,146777.44,2,0,1,150685.52,0
621,Germany,Male,51,4,109978.83,1,0,0,177740.58,1
654,France,Female,37,5,0.0,1,0,1,71492.28,0
650,Spain,Male,24,8,108881.73,1,1,0,104492.83,0
831,Spain,Female,44,10,0.0,1,0,1,47729.33,0
519,France,Male,39,2,112957.26,2,1,0,97593.16,0
552,Germany,Female,42,8,103362.14,1,0,1,186869.58,1
577,Spain,Male,41,4,89015.61,1,0,1,135227.23,0
576,Spain,Male,45,5,133618.01,1,0,0,135244.87,0
646,France,Male,40,5,93680.43,2,1,1,179473.26,0
711,Germany,Female,45,1,97486.15,2,1,0,50610.62,0
806,Spain,Female,37,2,137794.18,2,0,1,75232.02,0
670,France,Female,39,8,101928.51,1,0,0,89205.54,0
679,Spain,Female,28,9,0.0,2,0,1,61761.77,0
850,Spain,Female,39,6,0.0,2,1,0,103921.43,0
670,Germany,Female,35,2,79585.96,1,0,1,198802.9,0
733,France,Female,24,3,161884.99,1,1,1,9617.24,0
764,France,Female,39,1,129068.54,2,1,1,187905.12,0
673,France,Female,42,4,0.0,2,1,0,121440.8,0
588,Germany,Male,49,6,132623.76,3,1,0,36292.94,1
564,Spain,Male,31,5,121461.87,1,1,1,20432.09,1
715,France,Male,32,8,175307.32,1,1,0,187051.23,0
621,France,Male,31,7,136658.61,1,1,1,148689.13,0
796,Spain,Female,23,3,146584.19,2,0,0,125445.8,0
672,France,Male,34,6,0.0,1,0,0,22736.06,0
527,Spain,Female,46,10,131414.76,1,1,0,54947.51,0
722,France,Female,38,3,0.0,2,0,1,167984.72,0
596,Germany,Male,34,4,99441.21,2,0,1,4802.27,0
746,France,Female,32,4,0.0,2,1,1,72909.75,0
523,France,Female,26,4,0.0,2,1,0,185488.81,0
624,France,Male,44,3,0.0,2,1,0,88407.51,0
553,Spain,Male,38,1,181110.13,2,1,0,184544.59,0
850,Spain,Male,33,3,100476.46,2,1,1,136539.13,0
599,Germany,Male,33,2,51949.95,2,1,0,85045.92,0
492,France,Male,35,8,121063.49,1,0,0,85421.48,0
707,Spain,Male,48,8,88441.64,1,1,1,119903.2,1
743,France,Female,30,1,127023.39,1,1,1,138780.89,0
522,France,Male,41,5,144147.68,1,1,1,14789.9,0
681,Spain,Female,57,2,173306.13,1,0,1,131964.66,0
826,France,Female,49,0,0.0,1,0,0,178709.98,1
630,Germany,Female,28,8,106425.75,1,1,1,20344.84,0
430,Germany,Female,66,6,135392.31,2,1,1,172852.06,1
806,France,Female,67,1,0.0,2,0,1,103945.58,0
703,Spain,Male,39,6,152685.4,1,0,0,183656.12,0
755,Germany,Female,38,1,82083.52,1,0,1,10333.78,0
612,Spain,Female,63,2,131629.17,2,1,0,122109.58,1
719,France,Female,54,7,0.0,2,1,1,125041.52,0
554,Germany,Female,55,0,108477.27,1,0,1,140003.0,1
683,France,Male,30,4,114779.35,1,0,0,183171.47,0
749,France,Male,41,5,57568.94,1,1,1,61128.29,0
724,Spain,Male,36,1,0.0,2,1,0,52462.25,0
770,Spain,Male,30,8,0.0,2,0,1,50839.85,0
680,France,Male,37,4,0.0,2,1,0,61240.87,0
699,France,Female,32,4,110559.46,1,1,1,127429.56,0
442,France,Male,34,4,0.0,2,1,0,68343.08,0
529,France,Male,46,8,0.0,1,0,0,126511.94,1
574,Spain,Male,36,3,0.0,2,1,1,8559.66,0
605,France,Male,33,9,128152.82,1,0,0,147822.81,0
515,Germany,Male,45,7,120961.5,3,1,1,39288.11,1
632,Germany,Male,65,6,129472.33,1,1,1,85179.48,0
558,France,Male,32,10,105000.23,1,1,0,190019.61,0
434,Germany,Male,55,8,109339.17,2,1,0,96405.88,1
525,France,Female,59,6,55328.4,1,1,0,83342.73,1
640,Germany,Male,23,3,72012.76,1,1,0,161333.13,0
