credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
775,France,Male,28,9,166751.55,1,1,0,223996.515,0
681,Germany,Male,48,5,209571.59999999998,2,0,0,109600.08,0
564,Germany,Female,32,10,209812.80000000002,2,1,0,23067.345,0
646,Germany,Female,44,2,169595.745,1,0,0,79608.735,1
670,France,Female,50,8,207510.09,1,0,1,4738.725,0
751,France,Male,43,1,172461.36000000002,1,1,0,188880.81,0
544,France,Female,33,6,0.0,2,1,1,186169.56,0
639,France,Female,38,5,0.0,2,0,0,140574.57,0
635,Germany,Female,65,5,175988.31,1,1,0,233699.78999999998,1
672,France,Female,28,6,0.0,1,0,1,13222.035,0
639,France,Female,35,8,0.0,1,0,0,246680.97000000003,0
697,France,Female,25,1,0.0,2,0,0,131704.98,0
850,Spain,Male,44,8,0.0,2,1,1,275425.98,0
748,France,Female,34,8,0.0,2,1,0,80376.045,0
463,Spain,Female,35,2,0.0,2,1,1,2926.395,0
572,France,Female,30,6,0.0,1,0,1,262537.90499999997,0
741,Spain,Male,50,1,118106.41500000001,1,1,1,19528.44,0
646,Spain,Male,25,5,274315.32,2,1,1,63806.384999999995,1
805,Germany,Male,50,9,195035.07,1,1,0,94484.73,1
637,France,Male,36,2,228910.23,1,1,1,107539.20000000001,0
651,France,Male,28,7,0.0,2,1,0,1235.94,0
672,France,Male,28,4,250903.47000000003,1,1,1,254203.94999999998,0
493,France,Male,54,3,251747.82,2,1,0,225239.92500000002,1
524,Germany,Male,29,9,216431.40000000002,2,1,0,48094.95,0
624,Germany,Female,45,5,227782.995,1,1,0,103191.22499999999,0
569,Spain,Female,51,3,0.0,3,1,0,112627.44,1
677,France,Female,27,2,0.0,2,0,1,172028.88,0
464,Germany,Male,37,4,233991.22499999998,1,0,0,215498.16,0
718,Germany,Male,26,7,221290.54499999998,1,0,0,76649.34,0
594,France,Female,53,4,0.0,1,1,0,8113.11,1
574,France,Male,33,8,150400.54499999998,1,1,0,154509.405,0
478,Spain,Male,48,0,124930.57500000001,2,0,1,66221.92499999999,1
615,Spain,Male,41,4,0.0,1,0,1,223918.44,0
651,Spain,Male,45,4,0.0,2,0,0,289513.815,0
465,Germany,Male,53,1,176157.255,1,0,0,112348.20000000001,1
558,France,Female,56,7,181852.575,2,1,1,174379.65000000002,0
540,Germany,Male,37,3,194947.77,1,0,0,29061.120000000003,0
568,Germany,Male,46,8,226255.38,1,0,0,96775.20000000001,1
630,France,Male,31,0,0.0,2,1,1,51712.71,0
523,Germany,Male,60,1,245841.52500000002,1,0,1,85592.565,0
678,France,Female,48,2,0.0,2,1,1,48452.82,0
438,France,Male,38,2,0.0,2,1,0,205289.32499999998,0
544,France,Male,44,1,0.0,2,0,0,103866.36000000002,0
