credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
747,Germany,Male,36,8,102603.3,2,1,1,180693.61,0
707,Spain,Male,32,9,0.0,2,1,0,126475.79,0
590,Spain,Male,37,1,0.0,2,0,0,133535.99,1
603,Spain,Male,57,6,105000.85,2,1,1,87412.24,1
615,France,Male,45,5,0.0,2,1,1,164886.64,0
634,France,Female,36,1,69518.95,1,1,0,116238.39,0
716,Germany,Male,41,8,126145.54,2,1,1,138051.19,0
647,France,Male,41,4,138937.35,1,1,1,101617.64,1
591,Germany,Female,44,10,113581.98,1,1,0,1985.41,1
574,France,Male,34,1,112572.39,1,0,0,165626.6,1
467,Germany,Male,51,10,114514.71,2,1,0,177784.68,1
701,France,Female,35,2,0.0,2,1,1,65765.22,0
747,France,Female,34,10,0.0,2,1,1,50759.8,0
650,France,Male,32,2,84906.45,1,1,0,163216.48,1
731,Spain,Female,39,2,126816.18,1,1,1,74850.93,1
638,Germany,Female,26,1,105249.76,2,1,1,23491.09,0
569,Spain,Male,41,2,0.0,2,1,0,134272.57,0
459,Germany,Male,50,5,109387.9,1,1,0,155721.15,0
632,Germany,Male,23,3,122478.51,1,1,0,147230.77,1
683,France,Female,73,8,137732.23,2,1,1,133210.44,1
850,France,Female,46,2,157866.77,1,1,1,18986.12,0
512,France,Female,41,6,0.0,1,1,1,100507.81,0
616,France,Female,31,3,136789.14,1,1,0,59346.4,1
664,France,Male,36,1,0.0,2,1,1,95372.64,1
694,France,Male,30,10,144684.03,1,1,1,31805.49,0
655,France,Male,24,9,107065.31,1,1,1,51959.82,0
607,France,Female,33,8,91301.72,1,0,1,130824.57,0
684,Spain,Male,39,4,207034.96,2,0,0,157694.76,1
763,Spain,Male,37,8,0.0,2,1,1,933.38,0
671,Spain,Male,50,8,0.0,1,0,1,2560.11,1
592,Spain,Male,38,3,0.0,1,1,1,12905.89,1
666,Spain,Female,36,6,0.0,2,1,0,176692.87,1
667,France,Male,34,5,0.0,2,1,1,102908.63,0
850,Spain,Male,36,6,0.0,2,0,1,41291.05,0
622,Spain,Male,42,9,0.0,2,1,0,119127.06,0
577,France,Female,30,8,92472.1,2,0,1,126434.61,1
555,Spain,Male,21,1,0.0,2,0,0,103901.35,1
547,France,Male,62,10,127738.75,2,1,1,85153.0,1
613,Germany,Female,50,5,101242.98,2,1,0,12493.61,1
672,France,Female,43,4,92599.55,2,1,1,167336.78,0
624,Spain,Female,36,10,0.0,2,0,1,186180.42,1
698,Spain,Female,50,1,0.0,4,1,0,88566.9,1
606,France,Male,37,6,82373.94,1,0,0,172526.9,1
720,Spain,Male,31,4,141356.47,1,0,0,137985.69,0
835,France,Male,23,9,0.0,1,1,0,19793.73,1
771,Spain,Female,47,3,72664.0,2,1,1,107874.39,0
811,France,Female,47,3,123365.34,2,0,0,171995.34,0
734,Germany,Male,33,5,121898.58,1,1,0,61829.89,0
548,Spain,Male,33,6,0.0,1,1,1,31728.35,0
652,France,Female,31,3,103696.97,3,0,0,155221.05,1
707,France,Male,33,2,0.0,2,0,0,130866.95,1
605,Germany,Female,56,1,74129.18,2,1,1,62199.78,1
623,France,Female,34,9,0.0,1,1,0,24255.21,0
686,Germany,Male,29,3,185379.02,1,1,0,64679.07,1
525,Germany,Female,47,1,118087.68,1,1,0,88120.78,1
657,Spain,Male,41,8,109402.13,1,1,1,66463.62,1
730,Germany,Female,33,7,130367.87,1,1,0,15142.1,1
816,Germany,Female,34,2,108410.87,2,1,0,102908.91,1
484,France,Female,50,2,90408.16,2,0,0,48170.57,1
728,France,Female,34,6,90425.15,2,1,1,11597.69,0
730,Spain,Female,39,6,140094.59,1,1,0,172450.04,1
477,Spain,Male,31,9,0.0,2,0,1,184061.17,0
663,Germany,Female,46,6,95439.4,1,1,1,21038.58,1
549,Germany,Male,34,6,204017.4,2,1,0,109538.35,0
714,Spain,Male,29,9,0.0,2,1,0,129192.55,0
430,Germany,Male,49,3,137115.16,1,1,0,146516.86,1
504,Germany,Male,43,5,134740.19,2,1,0,181430.91,1
530,France,Female,29,5,0.0,2,0,0,121451.21,0
619,Germany,Male,29,4,98955.87,1,0,1,131712.51,1
617,Germany,Male,44,9,49157.09,2,1,0,53294.17,0
791,Germany,Male,31,1,130240.33,1,0,0,96546.55,0
609,France,Male,48,1,108019.27,3,1,1,184524.65,1
780,Germany,Male,51,4,126725.25,1,1,0,195259.31,1
777,Germany,Female,34,5,96693.66,1,1,1,172618.52,1
817,Germany,Female,27,7,129810.6,1,1,1,59259.44,1
850,France,Male,58,8,156652.13,1,0,0,25899.21,1
732,France,Female,36,9,0.0,1,0,0,3749.0,1
693,France,Male,40,4,130661.96,1,1,1,101918.96,1
576,France,Female,50,8,0.0,2,1,1,57802.62,0
643,France,Male,37,6,0.0,2,0,0,142454.77,0
757,France,Male,47,3,130747.1,1,1,0,143829.54,0
569,Germany,Male,30,6,106629.49,1,0,1,44114.88,1
772,Spain,Male,36,3,112029.83,1,1,1,186948.35,1
576,Germany,Male,29,7,130575.26,1,0,1,173629.78,0
608,Germany,Male,28,4,96679.71,1,1,1,49133.45,1
794,France,Male,33,0,0.0,2,0,0,178122.71,0
593,France,Male,50,6,171740.69,1,0,0,20893.61,1
597,Spain,Male,38,1,0.0,2,1,0,41303.29,1
541,Germany,Female,39,9,100116.67,1,1,1,199808.1,1
692,Germany,Male,24,2,120596.93,1,0,1,180490.53,1
697,France,Female,48,1,0.0,2,1,1,87400.53,0
768,France,Male,29,2,95984.69,2,1,1,73686.75,1
802,France,Male,38,1,142557.11,1,1,1,172497.73,1
584,France,Male,47,5,0.0,2,1,0,89286.29,0
614,Spain,Male,66,2,0.0,2,0,1,180082.7,1
850,Germany,Female,36,6,143644.16,1,1,0,22102.25,1
671,France,Female,38,6,132129.72,1,0,1,76068.95,1
626,France,Female,52,0,0.0,2,1,0,32159.46,1
770,France,Female,68,2,183555.24,1,0,0,159557.28,1
633,France,Male,38,2,91902.56,2,1,1,107673.35,1
663,France,Male,40,6,156218.19,1,0,1,33607.72,0
581,Germany,Female,43,5,93259.57,3,1,0,141035.65,1
561,Germany,Female,45,2,168085.38,2,0,1,115719.08,1
479,Germany,Male,51,1,107714.74,3,1,0,86128.21,1
769,France,Female,31,6,117852.26,2,1,0,147668.64,1
659,Spain,Male,60,2,0.0,1,1,0,177480.45,1
590,Spain,Female,51,10,84474.62,2,1,1,190937.09,1
560,France,Male,50,3,0.0,2,1,0,84531.79,1
437,Germany,Male,35,6,126803.34,2,1,1,161133.4,0
661,France,Female,34,0,0.0,2,1,0,185555.63,1
677,Germany,Female,36,10,68806.84,1,1,0,33075.24,1
560,France,Female,31,3,115141.18,1,1,0,39806.75,1
578,France,Female,35,2,0.0,2,0,1,26389.92,1
421,Spain,Male,34,6,90723.36,1,1,1,12162.76,0
492,Germany,Female,49,2,151249.45,2,1,1,167237.94,1
545,France,Female,32,6,0.0,2,1,1,52067.37,0
