credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
616,France,Male,37,9,0.0,1,1,0,111312.96
688,Spain,Male,32,6,124179.3,1,1,1,138759.15
605,France,Male,36,7,128829.25,1,1,0,190588.59
676,France,Male,33,6,171490.78,1,0,0,79099.64
708,Spain,Male,33,3,0.0,2,1,0,138613.21
745,Spain,Female,38,7,0.0,2,1,1,194230.82
661,Spain,Male,20,8,0.0,1,1,0,110252.53
726,France,Male,31,9,0.0,2,1,1,106117.3
475,France,Male,40,7,160818.08,1,0,1,169642.13
751,Germany,Male,54,9,156367.6,2,0,1,116179.92
645,Germany,Female,59,8,121669.93,2,0,0,91.75
775,France,Male,42,6,133970.22,2,0,1,187839.9
540,France,Male,41,3,0.0,2,1,0,121098.65
591,France,Female,34,3,96127.27,1,0,0,30972.06
596,Spain,Male,60,7,121907.97,1,0,1,30314.04
573,Spain,Male,41,5,0.0,2,0,1,14479.29
577,Spain,Male,31,6,0.0,1,1,1,196395.25
830,Germany,Female,40,8,77701.64,1,0,1,19512.38
663,France,Male,67,9,0.0,3,1,1,72318.77
421,France,Male,34,2,0.0,2,1,1,96615.23
718,Spain,Male,34,5,113922.44,2,1,0,30772.22
655,Germany,Female,61,2,183997.7,2,1,1,161217.18
712,France,Male,23,2,0.0,2,0,1,66795.78
663,France,Male,28,4,0.0,2,1,1,123969.64
640,France,Female,47,6,89799.46,2,0,1,13783.77
577,Spain,Male,29,2,0.0,1,1,1,168924.41
546,Spain,Female,36,7,85660.96,1,0,0,134778.01
802,Germany,Male,37,9,115569.21,1,0,1,119782.89
590,France,Female,45,2,81828.22,1,1,0,52167.97
594,Germany,Male,18,1,132694.73,1,1,0,167689.56
577,Spain,Male,51,2,108867.0,1,0,0,140800.66
541,France,Male,39,7,0.0,2,1,0,19823.02
781,France,Female,27,5,0.0,2,0,0,72969.9
806,Germany,Male,34,2,96152.68,2,1,0,143711.02
723,Germany,Female,49,0,153855.52,1,1,1,180862.26
535,France,Male,45,2,0.0,2,1,0,125658.28
768,France,Female,36,3,141334.95,1,0,1,125870.5
653,Germany,Male,41,1,104584.11,1,1,0,15126.32
803,Germany,Female,50,8,98173.02,1,0,0,22457.25
545,Spain,Female,44,1,0.0,2,1,1,82614.89
581,Germany,Female,38,3,135157.05,1,1,1,32919.42
513,Germany,Female,49,5,171601.27,1,1,0,126223.84
731,France,Male,29,5,179539.2,1,0,0,112010.02
727,Germany,Male,39,5,80615.46,2,0,0,180962.32
560,Spain,Male,47,1,0.0,1,0,0,128882.66
766,Germany,Male,27,5,126285.73,1,1,0,177614.17
630,Germany,Female,23,4,137964.51,1,0,1,174570.55
652,Germany,Male,41,9,159434.03,1,1,0,178373.93
729,Germany,Male,40,5,113574.61,2,1,0,103396.08
629,France,Female,33,6,0.0,2,1,1,59129.72
667,Germany,Male,33,9,124573.33,2,0,0,683.37
671,Germany,Female,31,6,105864.6,2,1,0,145567.34
768,Germany,Female,47,5,104552.61,1,1,0,48137.08
732,France,Female,35,3,0.0,2,1,0,90876.95
546,France,Female,30,5,0.0,2,0,1,198543.09
630,France,Male,55,2,0.0,1,1,1,106202.07
765,Germany,Female,46,8,119492.88,2,0,1,166896.01
704,France,Female,33,0,130499.09,2,1,1,74804.36
470,Spain,Female,48,6,140576.11,1,1,1,116971.05
688,Germany,Female,34,9,91025.58,2,0,1,163783.0
685,France,Female,33,1,0.0,3,0,1,70221.13
567,France,Female,38,1,125877.65,2,1,1,107841.77
720,Spain,Male,64,3,45752.78,2,1,0,79623.28
609,France,Male,39,3,121778.71,1,1,1,138399.67
521,Germany,Female,49,2,127948.57,1,1,1,182765.14
556,France,Female,30,7,0.0,2,1,1,186648.19
662,Germany,Male,30,5,115286.68,2,1,1,149587.92
704,Germany,Male,41,9,62078.21,2,1,0,129050.67
750,France,Female,38,1,0.0,2,1,0,47764.99
619,Spain,Female,32,4,175406.13,2,1,1,172792.43
468,Spain,Male,26,1,131643.25,1,1,0,64436.16
435,Germany,Male,44,3,151739.65,1,1,0,167461.5
529,France,Male,43,6,93616.35,2,0,0,98348.66
702,Germany,Female,60,5,138597.54,2,1,1,41536.59
608,France,Female,41,5,0.0,2,1,1,72462.25
576,France,Male,40,9,0.0,2,1,0,112465.19
666,France,Female,27,1,85225.21,1,0,1,64511.44
730,France,Female,36,8,148749.29,2,1,0,91830.75
647,Germany,Male,52,7,130013.12,1,1,1,190806.36
516,Spain,Female,27,1,0.0,1,0,1,112311.15
711,France,Female,81,6,0.0,2,1,1,72276.24
